UID          PID    PPID  C STIME TTY          TIME CMD
dragong     2004    1451  0 14:47 ?        00:00:00 /usr/share/code/chrome_crashpad_handler --monitor-self-annotation=ptype=crashpad-handler --no-rate-limit --database=/home/dragong/.config/Code/Crashpad --url=appcenter://code?aid=fba07a4d-84bd-4fc8-a125-9640fc8ce171&uid=75672ff7-b5f2-495c-bf08-c7167d217252&iid=75672ff7-b5f2-495c-bf08-c7167d217252&sid=75672ff7-b5f2-495c-bf08-c7167d217252 --annotation=_companyName=Microsoft --annotation=_productName=VSCode --annotation=_version=1.69.1 --annotation=prod=Electron --annotation=ver=18.3.5 --initial-client-fd=45 --shared-client-connection
dragong     2017    1451  0 14:47 ?        00:00:00 /usr/libexec/xdg-desktop-portal
dragong     2023    1987  2 14:47 ?        00:01:13 /usr/share/code/code --type=gpu-process --disable-color-correct-rendering --enable-crashpad --crashpad-handler-pid=2004 --enable-crash-reporter=5f4833ad-014f-4775-a590-256997a31385,no_channel --user-data-dir=/home/dragong/.config/Code --gpu-preferences=WAAAAAAAAAAgAAAIAAAAAAAAAAAAAAAAAABgAAAAAAA4AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAACAAAAAAAAAAIAAAAAAAAAABAAAAAAAAAAgAAAAAAAAACAAAAAAAAAAIAAAAAAAAAA== --shared-files --field-trial-handle=0,i,16230473227674580015,8145463436855797592,131072 --disable-features=SpareRendererForSitePerProcess
dragong     2024    1451  0 14:47 ?        00:00:00 /usr/libexec/xdg-document-portal
dragong     2036    1451  0 14:47 ?        00:00:00 /usr/libexec/xdg-desktop-portal-gtk
dragong     2043    1983  0 14:47 ?        00:00:00 /usr/share/code/code --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-US --service-sandbox-type=none --enable-crashpad --crashpad-handler-pid=2004 --enable-crash-reporter=5f4833ad-014f-4775-a590-256997a31385,no_channel --user-data-dir=/home/dragong/.config/Code --standard-schemes=vscode-webview,vscode-file --secure-schemes=vscode-webview,vscode-file --bypasscsp-schemes --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --streaming-schemes --shared-files=v8_context_snapshot_data:100 --field-trial-handle=0,i,16230473227674580015,8145463436855797592,131072 --disable-features=SpareRendererForSitePerProcess --enable-crashpad
dragong     2060    1983  8 14:47 ?        00:03:28 /usr/share/code/code --type=renderer --enable-crashpad --crashpad-handler-pid=2004 --enable-crash-reporter=5f4833ad-014f-4775-a590-256997a31385,no_channel --user-data-dir=/home/dragong/.config/Code --standard-schemes=vscode-webview,vscode-file --secure-schemes=vscode-webview,vscode-file --bypasscsp-schemes --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --streaming-schemes --app-path=/usr/share/code/resources/app --no-sandbox --no-zygote --enable-blink-features=HighlightAPI --disable-color-correct-rendering --lang=en-US --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=4 --launch-time-ticks=63510085 --shared-files=v8_context_snapshot_data:100 --field-trial-handle=0,i,16230473227674580015,8145463436855797592,131072 --disable-features=SpareRendererForSitePerProcess --vscode-window-config=vscode:aada32cb-5fef-4ef5-8960-82ef71a8ca8a --enable-crashpad
dragong     2061    2023  0 14:47 ?        00:00:00 /usr/share/code/code --type=broker
dragong     2098    1983  0 14:47 ?        00:00:08 /usr/share/code/code --type=renderer --enable-crashpad --crashpad-handler-pid=2004 --enable-crash-reporter=5f4833ad-014f-4775-a590-256997a31385,no_channel --user-data-dir=/home/dragong/.config/Code --standard-schemes=vscode-webview,vscode-file --secure-schemes=vscode-webview,vscode-file --bypasscsp-schemes --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --streaming-schemes --app-path=/usr/share/code/resources/app --no-sandbox --no-zygote --node-integration-in-worker --disable-color-correct-rendering --lang=en-US --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=5 --launch-time-ticks=66365609 --shared-files=v8_context_snapshot_data:100 --field-trial-handle=0,i,16230473227674580015,8145463436855797592,131072 --disable-features=SpareRendererForSitePerProcess --vscode-window-config=vscode:0eb073c8-ef3a-44ce-be4a-e0807c2150b1 --vscode-window-kind=shared-process --enable-crashpad
dragong     2099    1983  0 14:47 ?        00:00:13 /usr/share/code/code --ms-enable-electron-run-as-node --inspect-port=0 /usr/share/code/resources/app/out/bootstrap-fork --type=extensionHost --skipWorkspaceStorageLock
